PodcastName,EpisodeName,PodcastTagline,PublishDate,PlayFile,TrimmedPlayFile,fileName
Freakonomics Radio,--Placeholder--,By Stephen J. Dubner and WNYC Studios,--Placeholder--,~/peasInACast/podcastAudio/Freakonomics Radio/freakonomics_podcast070517.mp3,~/peasInACast/trimmedAudio/trimmed_freakonomics_podcast070517.mp3,freakonomics_podcast070517.mp3
Freakonomics Radio,--Placeholder--,By Stephen J. Dubner and WNYC Studios,--Placeholder--,~/peasInACast/podcastAudio/Freakonomics Radio/freakonomics_podcast071217.mp3,~/peasInACast/trimmedAudio/trimmed_freakonomics_podcast071217.mp3,freakonomics_podcast071217.mp3
How I Built This,Carol's Daughter: Lisa Price,"How I Built This is a podcast about innovators, entrepreneurs, and idealists, and the stories behind the movements they built. Each episode is a narrative journey marked by triumphs, failures, serendipity and insight — told by the founders of some of the world's best known companies and brands",--Placeholder--,~/peasInACast/podcastAudio/How I Built This Podcast - NPR/Carol's Daughter- Lisa Price.mp3,~/peasInACast/trimmedAudio/trimmed_Carol's Daughter- Lisa Price.mp3,Carol's Daughter- Lisa Price.mp3
How I Built This,Five Guys: Jerry Murrell,"How I Built This is a podcast about innovators, entrepreneurs, and idealists, and the stories behind the movements they built. Each episode is a narrative journey marked by triumphs, failures, serendipity and insight — told by the founders of some of the world's best known companies and brands",--Placeholder--,~/peasInACast/podcastAudio/How I Built This Podcast - NPR/Five Guys- Jerry Murrell.mp3,~/peasInACast/trimmedAudio/trimmed_Five Guys- Jerry Murrell.mp3,Five Guys- Jerry Murrell.mp3
How I Built This,Lonely Planet: Maureen & Tony Wheeler,"How I Built This is a podcast about innovators, entrepreneurs, and idealists, and the stories behind the movements they built. Each episode is a narrative journey marked by triumphs, failures, serendipity and insight — told by the founders of some of the world's best known companies and brands",--Placeholder--,~/peasInACast/podcastAudio/How I Built This Podcast - NPR/Lonely Planet- Maureen & Tony Wheeler.mp3,~/peasInACast/trimmedAudio/trimmed_Lonely Planet- Maureen & Tony Wheeler.mp3,Lonely Planet- Maureen & Tony Wheeler.mp3
How I Built This,Rolling Stone: Jann Wenner,"How I Built This is a podcast about innovators, entrepreneurs, and idealists, and the stories behind the movements they built. Each episode is a narrative journey marked by triumphs, failures, serendipity and insight — told by the founders of some of the world's best known companies and brands",--Placeholder--,~/peasInACast/podcastAudio/How I Built This Podcast - NPR/Rolling Stone- Jann Wenner.mp3,~/peasInACast/trimmedAudio/trimmed_Rolling Stone- Jann Wenner.mp3,Rolling Stone- Jann Wenner.mp3
How I Built This,Spanx: Sara Blakely,"How I Built This is a podcast about innovators, entrepreneurs, and idealists, and the stories behind the movements they built. Each episode is a narrative journey marked by triumphs, failures, serendipity and insight — told by the founders of some of the world's best known companies and brands",--Placeholder--,~/peasInACast/podcastAudio/How I Built This Podcast - NPR/Spanx- Sara Blakely.mp3,~/peasInACast/trimmedAudio/trimmed_Spanx- Sara Blakely.mp3,Spanx- Sara Blakely.mp3
How I Built This,TOMS: Blake Mycoskie,"How I Built This is a podcast about innovators, entrepreneurs, and idealists, and the stories behind the movements they built. Each episode is a narrative journey marked by triumphs, failures, serendipity and insight — told by the founders of some of the world's best known companies and brands",--Placeholder--,~/peasInACast/podcastAudio/How I Built This Podcast - NPR/TOMS- Blake Mycoskie.mp3,~/peasInACast/trimmedAudio/trimmed_TOMS- Blake Mycoskie.mp3,TOMS- Blake Mycoskie.mp3
How I Built This,TRX: Randy Hetrick,"How I Built This is a podcast about innovators, entrepreneurs, and idealists, and the stories behind the movements they built. Each episode is a narrative journey marked by triumphs, failures, serendipity and insight — told by the founders of some of the world's best known companies and brands",--Placeholder--,~/peasInACast/podcastAudio/How I Built This Podcast - NPR/TRX- Randy Hetrick.mp3,~/peasInACast/trimmedAudio/trimmed_TRX- Randy Hetrick.mp3,TRX- Randy Hetrick.mp3
How I Built This,Whole Foods Market: John Mackey,"How I Built This is a podcast about innovators, entrepreneurs, and idealists, and the stories behind the movements they built. Each episode is a narrative journey marked by triumphs, failures, serendipity and insight — told by the founders of some of the world's best known companies and brands",--Placeholder--,~/peasInACast/podcastAudio/How I Built This Podcast - NPR/Whole Foods Market- John Mackey.mp3,~/peasInACast/trimmedAudio/trimmed_Whole Foods Market- John Mackey.mp3,Whole Foods Market- John Mackey.mp3
Masters of Scale,--Placeholder--,How do companies grow from zero to a gazillion? Legendary Silicon Valley investor / entrepreneur Reid Hoffman tests his theories with famous founders.,--Placeholder--,~/peasInACast/podcastAudio/Masters of Scale/Beauty of a Bad Idea 11.mp3,~/peasInACast/trimmedAudio/trimmed_Beauty of a Bad Idea 11.mp3,Beauty of a Bad Idea 11.mp3
Masters of Scale,--Placeholder--,How do companies grow from zero to a gazillion? Legendary Silicon Valley investor / entrepreneur Reid Hoffman tests his theories with famous founders.,--Placeholder--,~/peasInACast/podcastAudio/Masters of Scale/Grit 10 MIX.mp3,~/peasInACast/trimmedAudio/trimmed_Grit 10 MIX.mp3,Grit 10 MIX.mp3
Masters of Scale,--Placeholder--,How do companies grow from zero to a gazillion? Legendary Silicon Valley investor / entrepreneur Reid Hoffman tests his theories with famous founders.,--Placeholder--,~/peasInACast/podcastAudio/Masters of Scale/HandCrafted12.mp3,~/peasInACast/trimmedAudio/trimmed_HandCrafted12.mp3,HandCrafted12.mp3
Masters of Scale,--Placeholder--,How do companies grow from zero to a gazillion? Legendary Silicon Valley investor / entrepreneur Reid Hoffman tests his theories with famous founders.,--Placeholder--,~/peasInACast/podcastAudio/Masters of Scale/Imperfect Is Perfect 10.2.mp3,~/peasInACast/trimmedAudio/trimmed_Imperfect Is Perfect 10.2.mp3,Imperfect Is Perfect 10.2.mp3
Masters of Scale,--Placeholder--,How do companies grow from zero to a gazillion? Legendary Silicon Valley investor / entrepreneur Reid Hoffman tests his theories with famous founders.,--Placeholder--,~/peasInACast/podcastAudio/Masters of Scale/Innovation Managed Chaos MIX 10.mp3,~/peasInACast/trimmedAudio/trimmed_Innovation Managed Chaos MIX 10.mp3,Innovation Managed Chaos MIX 10.mp3
Masters of Scale,--Placeholder--,How do companies grow from zero to a gazillion? Legendary Silicon Valley investor / entrepreneur Reid Hoffman tests his theories with famous founders.,--Placeholder--,~/peasInACast/podcastAudio/Masters of Scale/Learn Learn Again MIX 10.mp3,~/peasInACast/trimmedAudio/trimmed_Learn Learn Again MIX 10.mp3,Learn Learn Again MIX 10.mp3
Masters of Scale,--Placeholder--,How do companies grow from zero to a gazillion? Legendary Silicon Valley investor / entrepreneur Reid Hoffman tests his theories with famous founders.,--Placeholder--,~/peasInACast/podcastAudio/Masters of Scale/The Money Episode 13.mp3,~/peasInACast/trimmedAudio/trimmed_The Money Episode 13.mp3,The Money Episode 13.mp3
Online Marketing Made Easy,--Placeholder--,How do I start an online business? Grow my email list to thousands of subscribers? Sell more and grow faster? These are just some of the big questions that leading online marketing strategist,--Placeholder--,~/peasInACast/podcastAudio/Online Marketing Podcast/Online_Marketing_Made_Easy_Podcast_Episode_162.mp3,~/peasInACast/trimmedAudio/trimmed_Online_Marketing_Made_Easy_Podcast_Episode_162.mp3,Online_Marketing_Made_Easy_Podcast_Episode_162.mp3
Online Marketing Made Easy,--Placeholder--,How do I start an online business? Grow my email list to thousands of subscribers? Sell more and grow faster? These are just some of the big questions that leading online marketing strategist,--Placeholder--,~/peasInACast/podcastAudio/Online Marketing Podcast/Online_Marketing_Made_Easy_Podcast_Episode_163.mp3,~/peasInACast/trimmedAudio/trimmed_Online_Marketing_Made_Easy_Podcast_Episode_163.mp3,Online_Marketing_Made_Easy_Podcast_Episode_163.mp3
Online Marketing Made Easy,--Placeholder--,How do I start an online business? Grow my email list to thousands of subscribers? Sell more and grow faster? These are just some of the big questions that leading online marketing strategist,--Placeholder--,~/peasInACast/podcastAudio/Online Marketing Podcast/Online_Marketing_Made_Easy_Podcast_Episode_164.mp3,~/peasInACast/trimmedAudio/trimmed_Online_Marketing_Made_Easy_Podcast_Episode_164.mp3,Online_Marketing_Made_Easy_Podcast_Episode_164.mp3
Online Marketing Made Easy,--Placeholder--,How do I start an online business? Grow my email list to thousands of subscribers? Sell more and grow faster? These are just some of the big questions that leading online marketing strategist,--Placeholder--,~/peasInACast/podcastAudio/Online Marketing Podcast/Online_Marketing_Made_Easy_Podcast_Episode_165.mp3,~/peasInACast/trimmedAudio/trimmed_Online_Marketing_Made_Easy_Podcast_Episode_165.mp3,Online_Marketing_Made_Easy_Podcast_Episode_165.mp3
Online Marketing Made Easy,--Placeholder--,How do I start an online business? Grow my email list to thousands of subscribers? Sell more and grow faster? These are just some of the big questions that leading online marketing strategist,--Placeholder--,~/peasInACast/podcastAudio/Online Marketing Podcast/Online_Marketing_Made_Easy_Podcast_Episode_166.mp3,~/peasInACast/trimmedAudio/trimmed_Online_Marketing_Made_Easy_Podcast_Episode_166.mp3,Online_Marketing_Made_Easy_Podcast_Episode_166.mp3
Online Marketing Made Easy,--Placeholder--,How do I start an online business? Grow my email list to thousands of subscribers? Sell more and grow faster? These are just some of the big questions that leading online marketing strategist,--Placeholder--,~/peasInACast/podcastAudio/Online Marketing Podcast/Online_Marketing_Made_Easy_Podcast_Episode_167.mp3,~/peasInACast/trimmedAudio/trimmed_Online_Marketing_Made_Easy_Podcast_Episode_167.mp3,Online_Marketing_Made_Easy_Podcast_Episode_167.mp3
Online Marketing Made Easy,--Placeholder--,How do I start an online business? Grow my email list to thousands of subscribers? Sell more and grow faster? These are just some of the big questions that leading online marketing strategist,--Placeholder--,~/peasInACast/podcastAudio/Online Marketing Podcast/Online_Marketing_Made_Easy_Podcast_Episode_168.mp3,~/peasInACast/trimmedAudio/trimmed_Online_Marketing_Made_Easy_Podcast_Episode_168.mp3,Online_Marketing_Made_Easy_Podcast_Episode_168.mp3
Smart Passive Income Podcast,--Placeholder--,The Smart Passive Income Online Business and Blogging Podcast,--Placeholder--,~/peasInACast/podcastAudio/Smart Passive Income Podcast/268_How_to_Up_Your_Online_and_Offline_Game_with_Jordan_Harbinger.mp3,~/peasInACast/trimmedAudio/trimmed_268_How_to_Up_Your_Online_and_Offline_Game_with_Jordan_Harbinger.mp3,268_How_to_Up_Your_Online_and_Offline_Game_with_Jordan_Harbinger.mp3
Smart Passive Income Podcast,--Placeholder--,The Smart Passive Income Online Business and Blogging Podcast,--Placeholder--,~/peasInACast/podcastAudio/Smart Passive Income Podcast/269_How_to_Build_a_Massive_Community_Behind_Your_Physical_Product_with_Tom_from_Chubbies.mp3,~/peasInACast/trimmedAudio/trimmed_269_How_to_Build_a_Massive_Community_Behind_Your_Physical_Product_with_Tom_from_Chubbies.mp3,269_How_to_Build_a_Massive_Community_Behind_Your_Physical_Product_with_Tom_from_Chubbies.mp3
Smart Passive Income Podcast,--Placeholder--,The Smart Passive Income Online Business and Blogging Podcast,--Placeholder--,~/peasInACast/podcastAudio/Smart Passive Income Podcast/270_SPI_270__What_You_Need_to_Know_Before_You__Get_Physical__with_Richie_Norton.mp3,~/peasInACast/trimmedAudio/trimmed_270_SPI_270__What_You_Need_to_Know_Before_You__Get_Physical__with_Richie_Norton.mp3,270_SPI_270__What_You_Need_to_Know_Before_You__Get_Physical__with_Richie_Norton.mp3
Smart Passive Income Podcast,--Placeholder--,The Smart Passive Income Online Business and Blogging Podcast,--Placeholder--,~/peasInACast/podcastAudioSmart Passive Income Podcast/271_An_Interview_with_Five-Minute_Journal_Founders_UJ_Ramdas_and_Alex_Ikonn.mp3,~/peasInACast/trimmedAudio/trimmed_271_An_Interview_with_Five-Minute_Journal_Founders_UJ_Ramdas_and_Alex_Ikonn.mp3,271_An_Interview_with_Five-Minute_Journal_Founders_UJ_Ramdas_and_Alex_Ikonn.mp3
Smart Passive Income Podcast,--Placeholder--,The Smart Passive Income Online Business and Blogging Podcast,--Placeholder--,~/peasInACast/podcastAudio/Smart Passive Income Podcast/272_Starting_and_Running_a_Business_as_a_Couple_Featuring_the_Bakers.mp3,~/peasInACast/trimmedAudio/trimmed_272_Starting_and_Running_a_Business_as_a_Couple_Featuring_the_Bakers.mp3,272_Starting_and_Running_a_Business_as_a_Couple_Featuring_the_Bakers.mp3
Smart Passive Income Podcast,--Placeholder--,The Smart Passive Income Online Business and Blogging Podcast,--Placeholder--,~/peasInACast/podcastAudio/Smart Passive Income Podcast/273_7_Powerful_Things_That_Can_Happen_as_a_Result_of_Starting_a_Podcast.mp3,~/peasInACast/trimmedAudio/trimmed_273_7_Powerful_Things_That_Can_Happen_as_a_Result_of_Starting_a_Podcast.mp3,273_7_Powerful_Things_That_Can_Happen_as_a_Result_of_Starting_a_Podcast.mp3
Smart Passive Income Podcast,--Placeholder--,The Smart Passive Income Online Business and Blogging Podcast,--Placeholder--,~/peasInACast/podcastAudio/Smart Passive Income Podcast/274_How_to_Avoid_the_Slimy_Sell_with_Chalene_Johnson.mp3,~/peasInACast/trimmedAudio/trimmed_274_How_to_Avoid_the_Slimy_Sell_with_Chalene_Johnson.mp3,274_How_to_Avoid_the_Slimy_Sell_with_Chalene_Johnson.mp3
Stuff You Should Know,--Placeholder--,How do landfills work? How do mosquitos work? Join Josh and Chuck as they explore the Stuff You Should Know about everything from genes to the Galapagos in this podcast from HowStuffWorks.com.,--Placeholder--,~/peasInACast/podcastAudio/Stuff You Should Know/2017-06-20-sysk-seed-banks-final.mp3_90e9138c47e1cbf1cad80d59daad0c57_19872969.mp3,~/peasInACast/trimmedAudio/trimmed_2017-06-20-sysk-seed-banks-final.mp3_90e9138c47e1cbf1cad80d59daad0c57_19872969.mp3,2017-06-20-sysk-seed-banks-final.mp3_90e9138c47e1cbf1cad80d59daad0c57_19872969.mp3
Stuff You Should Know,--Placeholder--,How do landfills work? How do mosquitos work? Join Josh and Chuck as they explore the Stuff You Should Know about everything from genes to the Galapagos in this podcast from HowStuffWorks.com.,--Placeholder--,~/peasInACast/podcastAudio/Stuff You Should Know/2017-06-22-sysk-ketchup-final.mp3_34b069629ea7fddeb21366131324e5e6_20705351.mp3,~/peasInACast/trimmedAudio/trimmed_2017-06-22-sysk-ketchup-final.mp3_34b069629ea7fddeb21366131324e5e6_20705351.mp3,2017-06-22-sysk-ketchup-final.mp3_34b069629ea7fddeb21366131324e5e6_20705351.mp3
Stuff You Should Know,--Placeholder--,How do landfills work? How do mosquitos work? Join Josh and Chuck as they explore the Stuff You Should Know about everything from genes to the Galapagos in this podcast from HowStuffWorks.com.,--Placeholder--,~/peasInACast/podcastAudio/Stuff You Should Know/2017-06-29-sysk-standardized-patients-final.mp3_e8c2e15c4c862ecb01c098aa26939c32_19490530.mp3,~/peasInACast/trimmedAudio/trimmed_2017-06-29-sysk-standardized-patients-final.mp3_e8c2e15c4c862ecb01c098aa26939c32_19490530.mp3,2017-06-29-sysk-standardized-patients-final.mp3_e8c2e15c4c862ecb01c098aa26939c32_19490530.mp3
Stuff You Should Know,--Placeholder--,How do landfills work? How do mosquitos work? Join Josh and Chuck as they explore the Stuff You Should Know about everything from genes to the Galapagos in this podcast from HowStuffWorks.com.,--Placeholder--,~/peasInACast/podcastAudio/Stuff You Should Know/2017-07-04-sysk-stoicism-final.mp3_76e55cf8fa3710e51aaa775b2e4ae989_22329907.mp3,~/peasInACast/trimmedAudio/trimmed_2017-07-04-sysk-stoicism-final.mp3_76e55cf8fa3710e51aaa775b2e4ae989_22329907.mp3,2017-07-04-sysk-stoicism-final.mp3_76e55cf8fa3710e51aaa775b2e4ae989_22329907.mp3
Stuff You Should Know,--Placeholder--,How do landfills work? How do mosquitos work? Join Josh and Chuck as they explore the Stuff You Should Know about everything from genes to the Galapagos in this podcast from HowStuffWorks.com.,--Placeholder--,~/peasInACast/podcastAudio/Stuff You Should Know/2017-07-11-sysk-net-neutrality-final.mp3_d5ed347ad3530144aa49fb6a8ffe9066_23683949.mp3,~/peasInACast/trimmedAudio/trimmed_2017-07-11-sysk-net-neutrality-final.mp3_d5ed347ad3530144aa49fb6a8ffe9066_23683949.mp3,2017-07-11-sysk-net-neutrality-final.mp3_d5ed347ad3530144aa49fb6a8ffe9066_23683949.mp3
Stuff You Should Know,--Placeholder--,How do landfills work? How do mosquitos work? Join Josh and Chuck as they explore the Stuff You Should Know about everything from genes to the Galapagos in this podcast from HowStuffWorks.com.,--Placeholder--,~/peasInACast/podcastAudio/Stuff You Should Know/2017-07-13-sysk-fever-dreams-final.mp3_9c2a1bd8913418d28644b0f27316c5ae_14439900.mp3,~/peasInACast/trimmedAudio/trimmed_2017-07-13-sysk-fever-dreams-final.mp3_9c2a1bd8913418d28644b0f27316c5ae_14439900.mp3,2017-07-13-sysk-fever-dreams-final.mp3_9c2a1bd8913418d28644b0f27316c5ae_14439900.mp3
Stuff You Should Know,--Placeholder--,How do landfills work? How do mosquitos work? Join Josh and Chuck as they explore the Stuff You Should Know about everything from genes to the Galapagos in this podcast from HowStuffWorks.com.,--Placeholder--,~/peasInACast/podcastAudio/Stuff You Should Know/2017-07-15-sysk-amelia-earhart.mp3_a3bcd32f5f22988190fd8d19e42e5fda_11679237.mp3,~/peasInACast/trimmedAudio/trimmed_2017-07-15-sysk-amelia-earhart.mp3_a3bcd32f5f22988190fd8d19e42e5fda_11679237.mp3,2017-07-15-sysk-amelia-earhart.mp3_a3bcd32f5f22988190fd8d19e42e5fda_11679237.mp3
